items,support
"StudySat_Low, Suicidal_Yes",0.273
"FamilyHistory_No, StudyHrs_High",0.2709
StudyHrs_Low,0.2697
"StudyHrs_Low, nan",0.2696
"StudyHrs_Low, WorkPressure_Low",0.2696
"AcadPressure_Moderate, nan",0.2674
"AcadPressure_Moderate, WorkPressure_Low",0.2674
AcadPressure_Moderate,0.2674
"FamilyHistory_Yes, Gender_Male",0.2658
"Sleep_7-8h, nan",0.2633
Sleep_7-8h,0.2633
"Sleep_7-8h, WorkPressure_Low",0.2633
"CGPA_High, FamilyHistory_Yes",0.2615
"FamilyHistory_Yes, StudyHrs_High",0.2607
"CGPA_Mid, Depression_Yes",0.2604
"Depression_Yes, Gender_Female",0.2588
"Age_<=21, nan",0.2548
Age_<=21,0.2548
"Age_<=21, WorkPressure_Low",0.2548
"FinStress_High, StudyHrs_High",0.2514
"CGPA_Mid, Gender_Male",0.2488
"FinStress_High, Gender_Male",0.2481
"CGPA_High, FinStress_High",0.2471
Age_22-25,0.2454
"Age_22-25, nan",0.2454
"Age_22-25, WorkPressure_Low",0.2454
"CGPA_Mid, StudyHrs_High",0.2416
"CGPA_Mid, FamilyHistory_No",0.2349
"CGPA_High, Gender_Female",0.2342
"CGPA_High, Gender_Female, nan",0.2342
"CGPA_High, Gender_Female, WorkPressure_Low",0.2342
"AcadPressure_Low, Depression_No",0.2325
"Gender_Female, StudyHrs_High",0.2323
"AcadPressure_High, StudyHrs_High",0.2309
"AcadPressure_High, StudyHrs_High, WorkPressure_Low",0.2309
"AcadPressure_High, StudyHrs_High, nan",0.2309
"Depression_No, Gender_Male",0.2305
"CGPA_High, StudySat_Low, nan",0.2285
"CGPA_High, StudySat_Low, WorkPressure_Low",0.2285
"Depression_No, FinStress_Low",0.2285
"CGPA_High, StudySat_Low",0.2285
"Depression_No, FamilyHistory_No",0.2271
"FamilyHistory_No, FinStress_High",0.227
"StudySat_High, Suicidal_Yes",0.2263
"Gender_Male, StudySat_Low",0.2258
"Gender_Male, StudySat_Low, WorkPressure_Low",0.2258
"Gender_Male, StudySat_Low, nan",0.2258
"FamilyHistory_No, Gender_Female",0.2246
"AcadPressure_High, Gender_Male",0.2231
"CGPA_Mid, FamilyHistory_Yes",0.2224
"AcadPressure_High, CGPA_High",0.2222
"StudyHrs_High, StudySat_Low",0.222
Sleep_5-6h,0.2216
"Sleep_5-6h, nan",0.2216
"Sleep_5-6h, WorkPressure_Low",0.2216
"FamilyHistory_Yes, FinStress_High",0.2206
Age_>30,0.2186
"Age_>30, nan",0.2186
"Age_>30, WorkPressure_Low",0.2186
"Age_>30, WorkPressure_Low, nan",0.2186
"FamilyHistory_Yes, Gender_Female",0.2182
"CGPA_High, Depression_No",0.2174
"Sleep_>8h, nan",0.2166
"Sleep_>8h, WorkPressure_Low",0.2166
Sleep_>8h,0.2166
"Gender_Male, StudySat_High",0.2111
"StudySat_Moderate, WorkPressure_Low",0.2086
"StudySat_Moderate, nan",0.2086
StudySat_Moderate,0.2086
"CGPA_Mid, Gender_Female",0.2085
"FamilyHistory_No, StudySat_Low",0.2075
"AcadPressure_High, FinStress_High, WorkPressure_Low",0.2063
"AcadPressure_High, FinStress_High",0.2063
"AcadPressure_High, FinStress_High, nan",0.2063
"AcadPressure_High, FamilyHistory_No",0.2061
"AcadPressure_High, FamilyHistory_No, WorkPressure_Low",0.2061
"AcadPressure_High, FamilyHistory_No, nan",0.2061
"Gender_Male, Suicidal_No",0.2049
"AcadPressure_High, FamilyHistory_Yes, nan",0.2043
"AcadPressure_High, FamilyHistory_Yes, WorkPressure_Low",0.2043
"AcadPressure_High, FamilyHistory_Yes",0.2043
"CGPA_High, StudySat_High",0.2041
"FinStress_Low, Gender_Male",0.2039
"FamilyHistory_No, StudySat_High",0.2009
"CGPA_Mid, FinStress_High",0.2004
"FinStress_High, Gender_Female",0.1995
"AcadPressure_High, Depression_Yes, StudyHrs_High",0.1992
"StudyHrs_Moderate, nan",0.1987
"Sleep_<5h, Suicidal_Yes",0.1987
"StudyHrs_Moderate, WorkPressure_Low",0.1987
StudyHrs_Moderate,0.1987
"StudyHrs_High, StudySat_High",0.1982
"FamilyHistory_Yes, StudySat_Low",0.1971
"CGPA_Mid, Depression_No",0.1969
"CGPA_High, Suicidal_No",0.1962
"AcadPressure_High, StudySat_Low, nan",0.1959
"AcadPressure_High, StudySat_Low",0.1959
"AcadPressure_High, StudySat_Low, WorkPressure_Low",0.1959
"FamilyHistory_No, Suicidal_No",0.1958
"CGPA_High, FinStress_Low",0.1948
"CGPA_High, FinStress_Low, WorkPressure_Low",0.1948
"CGPA_High, FinStress_Low, nan",0.1947
"Depression_No, StudySat_High",0.1946
"FinStress_High, StudySat_Low",0.1924
"Depression_Yes, Sleep_<5h",0.1921
"Depression_Yes, StudySat_High",0.1918
"FamilyHistory_No, FinStress_Low",0.1917
"AcadPressure_High, CGPA_Mid, WorkPressure_Low",0.1882
"AcadPressure_High, CGPA_Mid",0.1882
"AcadPressure_High, CGPA_Mid, nan",0.1882
"Depression_No, FamilyHistory_Yes",0.1874
FinStress_Moderate,0.1873
"FinStress_Moderate, nan",0.1873
"AcadPressure_High, Gender_Female, nan",0.1873
"FinStress_Moderate, WorkPressure_Low",0.1873
"AcadPressure_High, Gender_Female, WorkPressure_Low",0.1873
"AcadPressure_High, Gender_Female",0.1873
"AcadPressure_High, Depression_Yes, FinStress_High",0.1871
"FinStress_Low, Suicidal_Yes",0.1867
"FamilyHistory_Yes, StudySat_High",0.1855
"Depression_No, Gender_Female",0.184
"AcadPressure_Low, Gender_Male",0.1825
"CGPA_Mid, StudySat_High",0.1823
"Age_<=21, Depression_Yes",0.1815
"AcadPressure_High, StudyHrs_High, Suicidal_Yes",0.1804
"FinStress_Low, StudyHrs_High",0.1789
"Gender_Female, StudySat_Low",0.1788
"FinStress_Low, Suicidal_No",0.1783
"Depression_No, StudyHrs_High",0.1772
"CGPA_High, FamilyHistory_No, Suicidal_Yes",0.1767
"AcadPressure_Low, CGPA_High",0.1766
"CGPA_Mid, StudySat_Low",0.1761
"Age_26-30, Suicidal_Yes",0.176
"Age_<=21, Suicidal_Yes",0.1758
"Gender_Female, StudySat_High",0.1753
"AcadPressure_Moderate, Suicidal_Yes",0.1752
"AcadPressure_Low, Suicidal_No",0.174
"FamilyHistory_Yes, FinStress_Low",0.1732
"AcadPressure_Low, FamilyHistory_No",0.1731
"FamilyHistory_Yes, Suicidal_No",0.1714
"StudyHrs_High, Suicidal_No",0.1711
"Sleep_7-8h, Suicidal_Yes",0.1711
"CGPA_Mid, Suicidal_No",0.1709
"AcadPressure_High, Depression_Yes, FamilyHistory_Yes",0.1707
"CGPA_Mid, FinStress_Low",0.1701
"AcadPressure_High, Depression_Yes, StudySat_Low",0.1694
"Gender_Male, Sleep_<5h",0.1678
"FinStress_High, StudySat_High",0.1658
"AcadPressure_High, FinStress_High, Suicidal_Yes",0.1651
"AcadPressure_High, Depression_Yes, FamilyHistory_No",0.1643
"Gender_Female, Suicidal_No",0.1623
"CGPA_High, Depression_Yes, FamilyHistory_No",0.1623
"Age_22-25, Suicidal_Yes",0.162
"CGPA_High, Sleep_<5h",0.1611
"FinStress_Low, Gender_Female",0.161
"AcadPressure_Moderate, Depression_Yes",0.1609
"Sleep_<5h, StudyHrs_High",0.1602
"StudySat_High, Suicidal_No",0.1601
"AcadPressure_Low, Depression_No, Suicidal_No",0.1594
"Age_26-30, Depression_Yes",0.159
"CGPA_High, Depression_Yes, StudySat_Low",0.1568
"AcadPressure_High, FamilyHistory_Yes, Suicidal_Yes",0.1568
"Depression_Yes, Sleep_7-8h",0.1567
"Age_26-30, Gender_Male",0.156
"Age_22-25, Depression_Yes",0.1557
"AcadPressure_Low, StudyHrs_High",0.155
"CGPA_High, StudySat_Low, Suicidal_Yes",0.1544
"Age_26-30, CGPA_High",0.1534
"AcadPressure_High, FamilyHistory_No, Suicidal_Yes",0.1527
"FinStress_Low, StudySat_High",0.1523
"Depression_No, StudyHrs_Low",0.1523
"AcadPressure_High, Depression_Yes, Gender_Female",0.1517
"AcadPressure_Moderate, Gender_Male",0.1516
"AcadPressure_High, StudySat_Low, Suicidal_Yes",0.1515
"FamilyHistory_No, Sleep_<5h",0.151
"AcadPressure_High, CGPA_Mid, Depression_Yes",0.1509
"CGPA_High, Gender_Female, Suicidal_Yes",0.1506
"AcadPressure_Low, FamilyHistory_Yes",0.149
"CGPA_High, Depression_No, Suicidal_No",0.1484
"AcadPressure_Low, Suicidal_Yes",0.1482
"Gender_Male, StudyHrs_Low, nan",0.1481
"Gender_Male, StudyHrs_Low",0.1481
"Gender_Male, StudyHrs_Low, WorkPressure_Low",0.1481
"CGPA_High, StudyHrs_Low, WorkPressure_Low",0.1477
"CGPA_High, StudyHrs_Low, nan",0.1477
"CGPA_High, StudyHrs_Low",0.1477
"StudyHrs_Low, Suicidal_Yes",0.1471
"FamilyHistory_Yes, Sleep_<5h",0.1468
"Age_26-30, StudyHrs_High",0.1464
"Age_26-30, FamilyHistory_No",0.1463
"AcadPressure_Moderate, StudyHrs_High",0.1457
"AcadPressure_Low, CGPA_Mid",0.1453
"Gender_Male, Sleep_7-8h",0.1453
"AcadPressure_Low, FinStress_Low",0.1452
"CGPA_High, Sleep_7-8h",0.1447
"AcadPressure_Moderate, CGPA_High",0.1436
"Sleep_7-8h, StudyHrs_High",0.1432
"FamilyHistory_No, StudyHrs_Low",0.143
"AcadPressure_High, Gender_Female, Suicidal_Yes",0.1411
"AcadPressure_Low, StudySat_High",0.1409
"AcadPressure_High, CGPA_Mid, Suicidal_Yes",0.1407
"CGPA_High, Depression_Yes, Gender_Female",0.1406
"Age_<=21, Gender_Male",0.1401
"AcadPressure_Low, Gender_Female",0.1396
"FamilyHistory_No, Sleep_7-8h",0.1379
"Sleep_5-6h, Suicidal_Yes",0.1375
"Age_<=21, CGPA_High",0.1374
"AcadPressure_Moderate, FamilyHistory_No",0.1368
"Age_<=21, StudyHrs_High",0.1367
"CGPA_Mid, Sleep_<5h",0.1366
"Depression_Yes, FinStress_Low",0.1364
"Age_22-25, StudyHrs_High",0.1359
"Age_22-25, Gender_Male",0.1358
"FinStress_High, Sleep_<5h",0.1355
"Age_26-30, FamilyHistory_Yes",0.1349
"Age_22-25, CGPA_High",0.1349
"FinStress_Low, StudySat_Low",0.1342
"AcadPressure_High, StudySat_High, WorkPressure_Low",0.134
"AcadPressure_High, StudySat_High, nan",0.134
"AcadPressure_High, StudySat_High",0.134
"CGPA_Mid, Depression_No, Suicidal_No",0.1334
"StudySat_Moderate, Suicidal_Yes",0.1332
"Depression_No, Suicidal_Yes",0.1326
"StudySat_Low, Suicidal_No",0.1316
"Depression_No, StudySat_Low",0.1313
"AcadPressure_Moderate, FamilyHistory_Yes",0.1306
"AcadPressure_High, Sleep_<5h, WorkPressure_Low",0.1305
"AcadPressure_High, Sleep_<5h",0.1305
"AcadPressure_High, Sleep_<5h, nan",0.1305
"Gender_Female, Sleep_<5h",0.13
"Age_>30, Depression_No",0.1292
"Age_<=21, FamilyHistory_No",0.1288
"Age_22-25, FamilyHistory_No",0.1281
"Age_26-30, CGPA_Mid",0.1278
"AcadPressure_High, FinStress_Low",0.1274
"AcadPressure_High, FinStress_Low, WorkPressure_Low",0.1274
"AcadPressure_High, FinStress_Low, nan",0.1274
"FamilyHistory_Yes, StudyHrs_Low",0.1267
"Depression_Yes, Sleep_5-6h",0.1261
"Age_<=21, FamilyHistory_Yes",0.126
"Age_<=21, FinStress_High",0.1255
"FamilyHistory_Yes, Sleep_7-8h",0.1254
"AcadPressure_Moderate, FinStress_High",0.1253
"Age_>30, Gender_Male",0.1253
"Age_26-30, Gender_Female",0.1252
"Sleep_>8h, Suicidal_Yes",0.1252
"StudyHrs_Moderate, Suicidal_Yes",0.1251
"Sleep_<5h, StudySat_Low",0.1239
"AcadPressure_Moderate, CGPA_Mid",0.1238
"CGPA_High, Sleep_5-6h, nan",0.1234
"CGPA_High, Sleep_5-6h",0.1234
"CGPA_High, Sleep_5-6h, WorkPressure_Low",0.1234
"StudyHrs_Low, Suicidal_No",0.1225
"Age_26-30, Depression_No",0.1222
"Gender_Male, Sleep_>8h",0.1221
"Sleep_5-6h, StudyHrs_High",0.122
"CGPA_Mid, StudyHrs_Low",0.1218
"Gender_Male, Sleep_5-6h, WorkPressure_Low",0.1216
"Gender_Male, Sleep_5-6h, nan",0.1216
"Gender_Male, Sleep_5-6h",0.1216
"FinStress_High, Suicidal_No",0.1215
"Gender_Female, StudyHrs_Low",0.1215
"FinStress_High, Sleep_7-8h",0.1208
"Depression_Yes, StudySat_Moderate",0.1202
"Gender_Male, StudySat_Moderate",0.1201
"FinStress_Moderate, Suicidal_Yes",0.12
"Age_26-30, FinStress_High",0.1195
"AcadPressure_High, Age_26-30, nan",0.1191
"AcadPressure_High, Age_26-30",0.1191
"AcadPressure_High, Age_26-30, WorkPressure_Low",0.1191
"Age_>30, Suicidal_Yes",0.119
"Age_>30, Suicidal_Yes, WorkPressure_Low",0.119
"Age_>30, Suicidal_Yes, nan",0.119
"CGPA_Mid, Sleep_7-8h",0.1186
"AcadPressure_High, FinStress_High, StudyHrs_High",0.1186
"Gender_Female, Sleep_7-8h",0.118
"CGPA_High, FamilyHistory_No, Gender_Female",0.118
"CGPA_High, FamilyHistory_No, StudySat_Low",0.1178
"Age_22-25, FinStress_High",0.1176
"AcadPressure_High, Age_<=21",0.1174
"AcadPressure_High, Age_<=21, WorkPressure_Low",0.1174
"Depression_Yes, StudyHrs_Low",0.1174
"AcadPressure_High, Age_<=21, nan",0.1174
"Age_<=21, CGPA_Mid",0.1173
"Age_22-25, FamilyHistory_Yes",0.1173
"AcadPressure_High, FamilyHistory_Yes, StudyHrs_High",0.117
"Age_>30, CGPA_High",0.1167
"AcadPressure_Low, FinStress_High",0.1161
"AcadPressure_Moderate, Gender_Female",0.1159
"Age_26-30, StudySat_Low",0.1155
"Age_<=21, Gender_Female",0.1147
"Sleep_<5h, StudySat_High",0.1144
"Depression_Yes, Sleep_<5h, StudyHrs_High",0.1142
"AcadPressure_High, FamilyHistory_No, StudyHrs_High",0.1139
"FamilyHistory_No, Sleep_5-6h",0.1139
"Depression_Yes, StudyHrs_Moderate",0.1136
"CGPA_High, Sleep_>8h",0.1129
"Age_>30, FamilyHistory_No",0.1128
"Age_>30, FamilyHistory_No, WorkPressure_Low",0.1128
"Age_>30, FamilyHistory_No, nan",0.1128
"FamilyHistory_No, Sleep_>8h",0.1128
"Age_>30, StudyHrs_High",0.1126
"AcadPressure_High, StudyHrs_High, StudySat_Low",0.1122
"AcadPressure_High, Depression_Yes, Sleep_<5h",0.1119
"FinStress_Low, StudyHrs_Low",0.1119
"AcadPressure_Moderate, StudySat_High",0.1115
"StudyHrs_High, StudySat_Moderate",0.1113
"Age_22-25, CGPA_Mid",0.1105
"Depression_Yes, FinStress_Moderate",0.1104
"Depression_Yes, Sleep_>8h",0.1103
"StudyHrs_Low, StudySat_High",0.1103
"CGPA_High, StudySat_Moderate",0.1097
"Gender_Male, StudyHrs_Moderate",0.1097
"Age_22-25, Gender_Female",0.1096
"FinStress_High, StudyHrs_Low",0.1094
"Age_22-25, StudySat_Low",0.109
"Depression_No, FinStress_High",0.109
"Age_26-30, FinStress_Low",0.1088
"FinStress_Low, Sleep_<5h",0.1085
"FamilyHistory_Yes, Sleep_5-6h",0.1077
"FamilyHistory_No, StudySat_Moderate",0.1074
"AcadPressure_Low, Depression_No, StudySat_High",0.1069
"Depression_No, Sleep_7-8h",0.1066
"AcadPressure_Moderate, Depression_No",0.1066
"Depression_No, Sleep_>8h",0.1063
"AcadPressure_Low, StudySat_Low",0.1061
"Age_<=21, StudySat_High",0.1059
"Sleep_>8h, StudyHrs_High",0.1059
"Age_>30, FamilyHistory_Yes",0.1058
"AcadPressure_High, CGPA_Mid, StudyHrs_High",0.1057
"Depression_No, Sleep_<5h",0.1057
"Sleep_7-8h, StudySat_Low",0.1057
"Age_26-30, Suicidal_No",0.1052
"FinStress_Moderate, Gender_Male",0.1052
"AcadPressure_Low, Depression_No, FamilyHistory_Yes",0.105
"Age_26-30, StudySat_High",0.1049
"AcadPressure_High, Gender_Female, StudyHrs_High",0.1049
"CGPA_High, StudyHrs_Moderate",0.1048
"AcadPressure_High, Sleep_7-8h",0.1047
"AcadPressure_High, Sleep_7-8h, WorkPressure_Low",0.1047
"AcadPressure_High, Sleep_7-8h, nan",0.1047
"AcadPressure_High, FamilyHistory_Yes, FinStress_High",0.1045
"AcadPressure_High, Age_<=21, Depression_Yes",0.1042
"StudyHrs_Low, StudySat_Low",0.1039
"StudyHrs_Low, StudySat_Low, nan",0.1039
"FamilyHistory_Yes, Sleep_>8h",0.1038
"CGPA_Mid, Sleep_>8h",0.1037
"AcadPressure_Low, StudyHrs_Low",0.1029
"AcadPressure_Moderate, StudySat_Low",0.1026
"AcadPressure_High, Sleep_<5h, Suicidal_Yes",0.1022
"FamilyHistory_No, StudyHrs_Moderate",0.1021
"CGPA_High, FamilyHistory_No, FinStress_Low",0.1019
"AcadPressure_High, FamilyHistory_No, FinStress_High",0.1018
"Age_>30, CGPA_Mid",0.1018
"Age_>30, CGPA_Mid, WorkPressure_Low",0.1018
"Age_>30, CGPA_Mid, nan",0.1018
"FamilyHistory_Yes, StudySat_Moderate",0.1013
"FinStress_Moderate, StudyHrs_High",0.1012
"AcadPressure_High, Suicidal_No, nan",0.101
"AcadPressure_High, Suicidal_No, WorkPressure_Low",0.101
"AcadPressure_High, Suicidal_No",0.101
"CGPA_High, FinStress_Moderate",0.1005
"CGPA_High, FinStress_Low, Suicidal_Yes",0.1003
"CGPA_High, Depression_No, StudySat_High",0.1001
"AcadPressure_High, FinStress_High, StudySat_Low",0.1001
"Sleep_7-8h, StudySat_High",0.1001
"Gender_Female, Sleep_5-6h",0.1
"Age_<=21, StudySat_Low",0.0996
"Age_>30, Suicidal_No",0.0996
"AcadPressure_Low, Depression_No, StudyHrs_High",0.0996
"AcadPressure_High, Depression_Yes, StudySat_High",0.0993
"Sleep_<5h, Suicidal_No",0.0992
"CGPA_Mid, StudySat_Moderate",0.0989
"CGPA_High, Depression_No, FamilyHistory_Yes",0.0987
"AcadPressure_High, FamilyHistory_No, StudySat_Low",0.0985
"Depression_Yes, FamilyHistory_Yes, StudySat_High",0.0983
"CGPA_Mid, Sleep_5-6h",0.0982
"CGPA_High, Gender_Female, StudySat_Low",0.0981
"CGPA_High, FamilyHistory_Yes, StudySat_High",0.098
"AcadPressure_High, FamilyHistory_Yes, StudySat_Low",0.0975
"FamilyHistory_No, FinStress_Moderate",0.0973
"AcadPressure_High, Age_22-25, nan",0.0967
"AcadPressure_High, Age_22-25",0.0967
"AcadPressure_High, Age_22-25, WorkPressure_Low",0.0967
"FamilyHistory_Yes, StudyHrs_Moderate",0.0966
"FinStress_High, Sleep_5-6h",0.0966
"AcadPressure_High, StudyHrs_Low, WorkPressure_Low",0.0964
"AcadPressure_High, StudyHrs_Low",0.0964
"AcadPressure_High, StudyHrs_Low, nan",0.0963
"Depression_No, Sleep_5-6h",0.0956
"AcadPressure_High, FamilyHistory_Yes, Gender_Female",0.0956
"AcadPressure_High, StudySat_High, Suicidal_Yes",0.0954
"AcadPressure_High, Age_26-30, Depression_Yes",0.0949
"FinStress_High, Sleep_>8h",0.0945
"Gender_Female, Sleep_>8h",0.0945
"CGPA_Mid, Depression_No, StudySat_High",0.0944
"AcadPressure_High, CGPA_Mid, FamilyHistory_Yes",0.0943
"AcadPressure_High, CGPA_Mid, FamilyHistory_No",0.0939
"CGPA_Mid, StudyHrs_Moderate",0.0939
"AcadPressure_High, FinStress_High, Gender_Female",0.0937
"AcadPressure_High, CGPA_Mid, FinStress_High",0.0935
"Age_>30, Gender_Female, nan",0.0933
"Age_>30, Gender_Female, WorkPressure_Low",0.0933
"Age_>30, Gender_Female",0.0933
"FinStress_Low, Sleep_7-8h",0.0931
"AcadPressure_Moderate, FinStress_Low",0.0924
"AcadPressure_Moderate, Suicidal_No",0.0923
"Sleep_7-8h, Suicidal_No",0.0922
"CGPA_High, FamilyHistory_Yes, Suicidal_No",0.092
"AcadPressure_High, Age_<=21, Suicidal_Yes",0.092
"Age_>30, FinStress_Low",0.0919
"Age_>30, FinStress_Low, WorkPressure_Low",0.0919
"Age_>30, FinStress_Low, nan",0.0919
"Depression_Yes, FinStress_High, Sleep_7-8h",0.0918
"AcadPressure_High, FamilyHistory_No, Gender_Female",0.0917
"Gender_Male, Sleep_<5h, StudyHrs_High",0.0914
"Sleep_>8h, Suicidal_No",0.0914
"AcadPressure_High, Sleep_5-6h",0.0905
"AcadPressure_High, Sleep_5-6h, WorkPressure_Low",0.0905
"AcadPressure_High, Sleep_5-6h, nan",0.0905
"AcadPressure_Low, Sleep_<5h",0.0902
"FamilyHistory_Yes, FinStress_Moderate",0.09
"Age_22-25, Depression_No",0.0897
"AcadPressure_High, Age_26-30, Suicidal_Yes",0.0897
"AcadPressure_Low, Depression_Yes",0.0897
"Age_>30, Depression_Yes, nan",0.0894
"Age_>30, Depression_Yes, WorkPressure_Low",0.0894
"Age_>30, Depression_Yes",0.0894
"FinStress_High, StudySat_Moderate",0.0893
"Age_>30, StudySat_High",0.0891
"Gender_Female, StudyHrs_Moderate",0.089
"Sleep_5-6h, StudySat_Low",0.0887
"CGPA_Mid, Depression_No, FamilyHistory_Yes",0.0886
"AcadPressure_High, CGPA_Mid, Gender_Female",0.0885
"Gender_Female, StudySat_Moderate",0.0885
"Depression_No, StudySat_Moderate",0.0885
"AcadPressure_High, Gender_Female, StudySat_Low",0.0878
"Age_>30, Depression_No, Suicidal_No",0.0877
"AcadPressure_Low, Age_26-30",0.0876
"CGPA_Mid, FamilyHistory_Yes, StudySat_High",0.0875
"Gender_Male, StudySat_High, Suicidal_No",0.0873
"FinStress_High, StudyHrs_Moderate",0.0869
"Sleep_>8h, StudySat_High",0.0868
"CGPA_Mid, FinStress_Moderate",0.0867
"Age_22-25, StudySat_High",0.0865
"CGPA_High, Sleep_<5h, StudyHrs_High",0.0865
"FamilyHistory_No, StudySat_High, Suicidal_No",0.0862
"Sleep_>8h, StudySat_Low",0.0861
"AcadPressure_High, Depression_Yes, Sleep_7-8h",0.0859
"Age_26-30, Sleep_<5h",0.0858
"AcadPressure_High, CGPA_Mid, StudySat_Low",0.0857
"Depression_Yes, Suicidal_No",0.0853
"Depression_No, StudyHrs_Moderate",0.0851
"Age_>30, FinStress_High",0.0851
"AcadPressure_High, FinStress_Low, Suicidal_Yes",0.085
"AcadPressure_Low, Age_22-25",0.0849
"Sleep_5-6h, StudySat_High",0.0847
"AcadPressure_High, Sleep_>8h, nan",0.0845
"AcadPressure_High, Sleep_>8h",0.0845
"AcadPressure_High, Sleep_>8h, WorkPressure_Low",0.0845
"AcadPressure_High, Depression_Yes, FinStress_Low",0.0842
"Sleep_5-6h, Suicidal_No",0.0841
"CGPA_High, FinStress_Low, Gender_Female",0.0837
"Age_22-25, Suicidal_No",0.0834
"CGPA_High, StudySat_High, Suicidal_No",0.0834
"AcadPressure_High, StudyHrs_Moderate, WorkPressure_Low",0.0831
"AcadPressure_High, StudyHrs_Moderate, nan",0.0831
"AcadPressure_High, StudyHrs_Moderate",0.0831
"AcadPressure_High, Age_22-25, Depression_Yes",0.0829
"FinStress_Low, StudySat_High, Suicidal_No",0.0829
"Age_22-25, FinStress_Low",0.0828
"FinStress_Moderate, Gender_Female",0.0821
"AcadPressure_Low, Sleep_7-8h",0.0821
"AcadPressure_Low, Age_>30",0.0818
"FinStress_Low, Sleep_5-6h",0.0817
